instancia,n,l,s,i,N,estado,tiempo_seg,gap,objetivo,cota_dual,suma_z,no_satisfechos,T,nodos,variables,restricciones
c_n_18_l_3_s_2_i_0,18,3,2,0,36,optimal,3.24,0.0,2.0,2.0,36,0,2.0,5,383,390
c_n_18_l_3_s_3_i_0,18,3,3,0,54,timelimit,15.0,0.91666667,7.666667,4.0,51,3,4.666667,137,891,1264
c_n_18_l_3_s_4_i_0,18,3,4,0,72,timelimit,15.0,,,,,,,15,1453,1496
c_n_18_l_5_s_2_i_0,18,5,2,0,36,optimal,2.51,0.0,2.0,2.0,36,0,2.0,30,569,633
c_n_18_l_5_s_3_i_0,18,5,3,0,54,timelimit,15.0,1.83333333,11.333333,4.0,50,4,7.333333,68,1309,1533
c_n_18_l_5_s_4_i_0,18,5,4,0,72,timelimit,15.0,,,,,,,1,2166,2222
c_n_18_l_7_s_2_i_0,18,7,2,0,36,optimal,2.0,0.0,2.0,2.0,36,0,2.0,67,727,647
c_n_18_l_7_s_3_i_0,18,7,3,0,54,timelimit,15.0,8.25,24.666667,2.666667,52,2,22.666667,17,1679,1810
c_n_18_l_7_s_4_i_0,18,7,4,0,72,timelimit,15.0,15.88888889,38.0,2.25,52,20,18.0,1,2838,2787
c_n_27_l_3_s_2_i_0,27,3,2,0,54,optimal,4.54,0.0,2.0,2.0,54,0,2.0,63,565,658
c_n_27_l_3_s_3_i_0,27,3,3,0,81,timelimit,15.0,15.375,43.666667,2.666667,52,29,14.666667,49,1341,1431
c_n_27_l_3_s_4_i_0,27,3,4,0,108,timelimit,15.01,15.6,83.0,5.0,51,57,26.0,1,2224,2141
c_n_27_l_5_s_2_i_0,27,5,2,0,54,optimal,2.19,0.0,2.0,2.0,54,0,2.0,42,787,706
c_n_27_l_5_s_3_i_0,27,5,3,0,81,timelimit,15.0,7.16666667,32.666667,4.0,67,14,18.666667,1,1961,2027
c_n_27_l_5_s_4_i_0,27,5,4,0,108,timelimit,15.04,,,,,,,1,3269,3175
c_n_27_l_7_s_2_i_0,27,7,2,0,54,optimal,3.14,0.0,2.0,2.0,54,0,2.0,63,1043,927
c_n_27_l_7_s_3_i_0,27,7,3,0,81,timelimit,15.01,12.125,35.0,2.666667,74,7,28.0,1,2503,2525
c_n_27_l_7_s_4_i_0,27,7,4,0,108,timelimit,15.0,,,,,,,1,4293,4196
c_n_36_l_3_s_2_i_0,36,3,2,0,72,optimal,13.28,0.0,2.0,2.0,72,0,2.0,306,769,876
c_n_36_l_3_s_3_i_0,36,3,3,0,108,timelimit,15.0,20.5,86.0,4.0,42,66,20.0,1,1766,1811
c_n_36_l_3_s_4_i_0,36,3,4,0,144,timelimit,15.0,32.83333333,101.5,3.0,71,73,28.5,1,2927,2743
c_n_36_l_5_s_2_i_0,36,5,2,0,72,optimal,6.28,0.0,2.0,2.0,72,0,2.0,107,1135,885
c_n_36_l_5_s_3_i_0,36,5,3,0,108,timelimit,15.0,6.5,30.0,4.0,94,14,16.0,1,2609,2615
c_n_36_l_5_s_4_i_0,36,5,4,0,144,timelimit,15.0,14.03030303,62.0,4.125,109,35,27.0,1,4318,4165
c_n_36_l_7_s_2_i_0,36,7,2,0,72,optimal,9.36,0.0,2.0,2.0,72,0,2.0,100,1485,1297
c_n_36_l_7_s_3_i_0,36,7,3,0,108,timelimit,15.0,37.25,34.0,0.888889,100,8,26.0,1,3379,3323
c_n_36_l_7_s_4_i_0,36,7,4,0,144,timelimit,15.0,,,,,,,1,5728,5588
c_n_9_l_3_s_2_i_0,9,3,2,0,18,optimal,1.1,0.0,3.0,3.0,17,1,2.0,4,183,175
c_n_9_l_3_s_3_i_0,9,3,3,0,27,timelimit,15.0,0.375,3.666667,2.666667,26,1,2.666667,708,447,779
c_n_9_l_3_s_4_i_0,9,3,4,0,36,timelimit,15.0,2.2,16.0,5.0,28,8,8.0,110,748,904
c_n_9_l_5_s_2_i_0,9,5,2,0,18,optimal,0.61,0.0,2.0,2.0,18,0,2.0,1,249,276
c_n_9_l_5_s_3_i_0,9,5,3,0,27,optimal,3.92,0.0,2.666667,2.666667,27,0,2.666667,34,651,814
c_n_9_l_5_s_4_i_0,9,5,4,0,36,timelimit,15.0,0.5,7.5,5.0,35,1,6.5,65,1088,1201
c_n_9_l_7_s_2_i_0,9,7,2,0,18,optimal,0.84,0.0,2.0,2.0,18,0,2.0,1,304,334
c_n_9_l_7_s_3_i_0,9,7,3,0,27,optimal,5.17,0.0,4.0,4.0,27,0,4.0,89,807,1019
c_n_9_l_7_s_4_i_0,9,7,4,0,36,timelimit,15.0,2.3,16.5,5.0,34,2,14.5,17,1343,1445
