Tabla 1. Instancias resueltas a optimalidad dentro del limite de tiempo.
Cada celda agrega las 10 replicas.

   n    l    s      N   #Opt  #Total    %Opt
--------------------------------------------
   9    3    2     18      1       1    100%
   9    3    3     27      0       1      0%
   9    3    4     36      0       1      0%
   9    5    2     18      1       1    100%
   9    5    3     27      1       1    100%
   9    5    4     36      0       1      0%
   9    7    2     18      1       1    100%
   9    7    3     27      1       1    100%
   9    7    4     36      0       1      0%
  18    3    2     36      1       1    100%
  18    3    3     54      0       1      0%
  18    3    4     72      0       1      0%
  18    5    2     36      1       1    100%
  18    5    3     54      0       1      0%
  18    5    4     72      0       1      0%
  18    7    2     36      1       1    100%
  18    7    3     54      0       1      0%
  18    7    4     72      0       1      0%
  27    3    2     54      1       1    100%
  27    3    3     81      0       1      0%
  27    3    4    108      0       1      0%
  27    5    2     54      1       1    100%
  27    5    3     81      0       1      0%
  27    5    4    108      0       1      0%
  27    7    2     54      1       1    100%
  27    7    3     81      0       1      0%
  27    7    4    108      0       1      0%
  36    3    2     72      1       1    100%
  36    3    3    108      0       1      0%
  36    3    4    144      0       1      0%
  36    5    2     72      1       1    100%
  36    5    3    108      0       1      0%
  36    5    4    144      0       1      0%
  36    7    2     72      1       1    100%
  36    7    3    108      0       1      0%
  36    7    4    144      0       1      0%
