Tabla 2. Estadisticas de tiempo de ejecucion (segundos) sobre las
instancias en que se demostro optimalidad.

   n    l    s        Min       Prom    Mediana        Max   #Opt
----------------------------------------------------------------------
   9    3    2       1.10       1.10       1.10       1.10      1
   9    3    3          -          -          -          -      0
   9    3    4          -          -          -          -      0
   9    5    2       0.61       0.61       0.61       0.61      1
   9    5    3       3.92       3.92       3.92       3.92      1
   9    5    4          -          -          -          -      0
   9    7    2       0.84       0.84       0.84       0.84      1
   9    7    3       5.17       5.17       5.17       5.17      1
   9    7    4          -          -          -          -      0
  18    3    2       3.24       3.24       3.24       3.24      1
  18    3    3          -          -          -          -      0
  18    3    4          -          -          -          -      0
  18    5    2       2.51       2.51       2.51       2.51      1
  18    5    3          -          -          -          -      0
  18    5    4          -          -          -          -      0
  18    7    2       2.00       2.00       2.00       2.00      1
  18    7    3          -          -          -          -      0
  18    7    4          -          -          -          -      0
  27    3    2       4.54       4.54       4.54       4.54      1
  27    3    3          -          -          -          -      0
  27    3    4          -          -          -          -      0
  27    5    2       2.19       2.19       2.19       2.19      1
  27    5    3          -          -          -          -      0
  27    5    4          -          -          -          -      0
  27    7    2       3.14       3.14       3.14       3.14      1
  27    7    3          -          -          -          -      0
  27    7    4          -          -          -          -      0
  36    3    2      13.28      13.28      13.28      13.28      1
  36    3    3          -          -          -          -      0
  36    3    4          -          -          -          -      0
  36    5    2       6.28       6.28       6.28       6.28      1
  36    5    3          -          -          -          -      0
  36    5    4          -          -          -          -      0
  36    7    2       9.36       9.36       9.36       9.36      1
  36    7    3          -          -          -          -      0
  36    7    4          -          -          -          -      0
