Tabla 3. Estadisticas del gap (%) sobre las instancias que
alcanzaron el limite de tiempo sin demostrar optimalidad.

   n    l    s    GapProm     GapMax   #NOpt  #SinSol
----------------------------------------------------------
   9    3    3      37.50      37.50       1        0
   9    3    4     220.00     220.00       1        0
   9    5    4      50.00      50.00       1        0
   9    7    4     230.00     230.00       1        0
  18    3    3      91.67      91.67       1        0
  18    3    4          -          -       1        1
  18    5    3     183.33     183.33       1        0
  18    5    4          -          -       1        1
  18    7    3     825.00     825.00       1        0
  18    7    4    1588.89    1588.89       1        0
  27    3    3    1537.50    1537.50       1        0
  27    3    4    1560.00    1560.00       1        0
  27    5    3     716.67     716.67       1        0
  27    5    4          -          -       1        1
  27    7    3    1212.50    1212.50       1        0
  27    7    4          -          -       1        1
  36    3    3    2050.00    2050.00       1        0
  36    3    4    3283.33    3283.33       1        0
  36    5    3     650.00     650.00       1        0
  36    5    4    1403.03    1403.03       1        0
  36    7    3    3725.00    3725.00       1        0
  36    7    4          -          -       1        1
