index,instance_id,student_id,origin_course,grade_average,gender,socioemotional_level,convivencia_level,pref_1,pref_2,pref_3,pref_4,pref_5
0,I00C_DRAFT_ILUSTRATIVO_27,SYN-0001,8A,5.8,F,2,2,SYN-0002,SYN-0014,,,
1,I00C_DRAFT_ILUSTRATIVO_27,SYN-0002,8A,6.1,F,3,1,SYN-0001,SYN-0003,,,
2,I00C_DRAFT_ILUSTRATIVO_27,SYN-0003,8A,4.2,F,2,3,SYN-0002,,,,
3,I00C_DRAFT_ILUSTRATIVO_27,SYN-0004,8A,3.6,M,1,2,SYN-0005,SYN-0012,,,
4,I00C_DRAFT_ILUSTRATIVO_27,SYN-0005,8A,5.9,M,3,2,SYN-0004,SYN-0013,,,
5,I00C_DRAFT_ILUSTRATIVO_27,SYN-0006,8A,4.8,M,2,1,SYN-0007,SYN-0004,,,
6,I00C_DRAFT_ILUSTRATIVO_27,SYN-0007,8A,5.5,F,1,3,SYN-0001,SYN-0002,,,
7,I00C_DRAFT_ILUSTRATIVO_27,SYN-0008,8A,3.9,F,1,1,SYN-0009,,,,
8,I00C_DRAFT_ILUSTRATIVO_27,SYN-0009,8A,4.4,M,2,2,SYN-0008,SYN-0019,,,
9,I00C_DRAFT_ILUSTRATIVO_27,SYN-0010,8B,6.3,F,3,2,SYN-0011,SYN-0002,,,
10,I00C_DRAFT_ILUSTRATIVO_27,SYN-0011,8B,4.1,M,2,3,SYN-0010,SYN-0009,,,
11,I00C_DRAFT_ILUSTRATIVO_27,SYN-0012,8B,3.4,M,1,1,SYN-0004,,,,
12,I00C_DRAFT_ILUSTRATIVO_27,SYN-0013,8B,5.6,F,2,2,SYN-0005,SYN-0010,,,
13,I00C_DRAFT_ILUSTRATIVO_27,SYN-0014,8B,4.9,M,3,2,SYN-0001,,,,
14,I00C_DRAFT_ILUSTRATIVO_27,SYN-0015,8B,4.5,F,2,1,SYN-0013,SYN-0016,,,
15,I00C_DRAFT_ILUSTRATIVO_27,SYN-0016,8B,3.7,M,1,3,SYN-0015,SYN-0017,,,
16,I00C_DRAFT_ILUSTRATIVO_27,SYN-0017,8B,5.2,F,2,2,SYN-0016,SYN-0010,,,
17,I00C_DRAFT_ILUSTRATIVO_27,SYN-0018,8B,6.0,M,3,1,SYN-0010,SYN-0013,SYN-0002,,
18,I00C_DRAFT_ILUSTRATIVO_27,SYN-0019,8C,4.0,F,1,2,SYN-0009,SYN-0020,,,
19,I00C_DRAFT_ILUSTRATIVO_27,SYN-0020,8C,3.2,M,1,1,SYN-0019,,,,
20,I00C_DRAFT_ILUSTRATIVO_27,SYN-0021,8C,5.7,F,3,3,SYN-0022,SYN-0002,,,
21,I00C_DRAFT_ILUSTRATIVO_27,SYN-0022,8C,4.6,M,2,2,SYN-0021,SYN-0023,,,
22,I00C_DRAFT_ILUSTRATIVO_27,SYN-0023,8C,5.1,F,2,1,SYN-0022,SYN-0017,,,
23,I00C_DRAFT_ILUSTRATIVO_27,SYN-0024,8C,3.8,M,1,2,SYN-0025,,,,
24,I00C_DRAFT_ILUSTRATIVO_27,SYN-0025,8C,6.2,F,3,3,SYN-0024,SYN-0026,,,
25,I00C_DRAFT_ILUSTRATIVO_27,SYN-0026,8C,4.7,M,2,2,SYN-0025,SYN-0017,,,
26,I00C_DRAFT_ILUSTRATIVO_27,SYN-0027,8C,5.5,F,2,3,SYN-0021,SYN-0025,,,
