# ------------------------------------------------------------
# Instancia sintetica para pruebas del modelo exacto
# L = 18 estudiantes por curso
# P = 5 preferencias por estudiante
# C = 7 cursos nuevos
# Total = 126 estudiantes
# ------------------------------------------------------------

# INSTANCIA DE REASIGNACION DE ESTUDIANTES
# Este archivo contiene los datos de entrada de la instancia. La solucion se guarda aparte.

[INSTANCIA]
nombre=c_n_18_l_5_s_7_i_7
semilla=50845
N=126
C=7
L=18
P=5

[CURSOS_NUEVOS]
curso;capacidad
1;18
2;18
3;18
4;18
5;18
6;18
7;18

[BALANCE_GENERO]
grupos=F,M
diferencia_maxima=1

[CURSOS_ORIGEN]
cursos_origen=O1,O2,O3,O4,O5,O6,O7
minimo_O1=1
minimo_O2=1
minimo_O3=1
minimo_O4=1
minimo_O5=1
minimo_O6=1
minimo_O7=1

[CRITERIOS_BALANCE]
criterios=academico,socioemocional,convivencia
niveles=1,2,3

[ESTUDIANTES]
estudiante;curso_origen;genero;academico;socioemocional;convivencia
1;O1;M;3;3;2
2;O1;F;3;3;2
3;O1;M;3;1;1
4;O1;M;2;2;2
5;O1;F;1;3;1
6;O1;F;2;3;2
7;O1;F;2;1;3
8;O1;M;3;2;3
9;O1;F;3;3;2
10;O1;F;3;3;1
11;O1;M;1;1;2
12;O1;F;3;2;1
13;O1;M;2;2;3
14;O1;M;1;2;2
15;O1;M;3;3;1
16;O1;F;2;3;1
17;O1;M;2;1;3
18;O1;F;3;1;2
19;O2;F;3;2;3
20;O2;M;2;2;3
21;O2;M;2;3;1
22;O2;F;1;3;2
23;O2;F;2;1;1
24;O2;M;2;1;1
25;O2;F;1;1;2
26;O2;F;1;2;2
27;O2;M;2;1;3
28;O2;M;3;2;1
29;O2;F;1;3;2
30;O2;M;2;2;2
31;O2;F;1;1;3
32;O2;M;3;3;3
33;O2;F;1;1;3
34;O2;F;3;1;2
35;O2;M;2;1;1
36;O2;M;2;1;3
37;O3;M;2;2;3
38;O3;F;2;2;2
39;O3;M;3;1;3
40;O3;F;1;3;1
41;O3;M;3;2;1
42;O3;M;2;2;2
43;O3;M;1;1;1
44;O3;M;2;1;2
45;O3;M;2;3;3
46;O3;F;2;3;2
47;O3;F;3;3;2
48;O3;F;3;2;3
49;O3;M;1;3;3
50;O3;F;3;3;1
51;O3;F;2;3;1
52;O3;F;3;3;1
53;O3;F;3;1;3
54;O3;M;1;2;1
55;O4;F;3;1;1
56;O4;M;3;1;2
57;O4;F;1;3;3
58;O4;M;3;1;2
59;O4;M;2;1;2
60;O4;F;2;1;3
61;O4;M;3;1;1
62;O4;M;1;1;2
63;O4;F;3;1;1
64;O4;F;1;1;1
65;O4;F;2;2;1
66;O4;F;1;2;3
67;O4;F;2;3;2
68;O4;M;1;3;3
69;O4;M;2;1;2
70;O4;M;3;1;2
71;O4;M;1;2;1
72;O4;F;1;1;3
73;O5;M;2;3;3
74;O5;F;1;1;2
75;O5;F;2;2;3
76;O5;M;1;3;1
77;O5;M;3;2;3
78;O5;F;3;3;2
79;O5;M;3;3;2
80;O5;F;2;3;3
81;O5;M;1;1;1
82;O5;M;3;1;2
83;O5;M;2;3;2
84;O5;F;1;3;1
85;O5;F;1;2;3
86;O5;F;2;2;2
87;O5;M;3;3;1
88;O5;F;2;1;3
89;O5;F;2;1;1
90;O5;M;3;3;2
91;O6;M;3;3;2
92;O6;M;2;2;3
93;O6;M;1;3;3
94;O6;F;2;1;3
95;O6;F;2;2;1
96;O6;M;2;1;2
97;O6;F;1;1;3
98;O6;M;2;1;1
99;O6;F;2;1;1
100;O6;M;1;1;1
101;O6;F;1;3;2
102;O6;F;2;2;2
103;O6;M;2;1;1
104;O6;F;2;3;1
105;O6;M;3;1;3
106;O6;F;2;1;2
107;O6;F;1;2;3
108;O6;M;1;3;3
109;O7;F;1;2;2
110;O7;M;2;2;1
111;O7;M;1;1;1
112;O7;M;3;1;2
113;O7;M;3;3;3
114;O7;M;1;1;1
115;O7;F;2;1;2
116;O7;F;2;1;2
117;O7;F;1;2;3
118;O7;F;2;3;3
119;O7;F;1;3;1
120;O7;F;3;2;1
121;O7;M;2;3;1
122;O7;M;3;3;3
123;O7;F;1;1;2
124;O7;M;3;2;1
125;O7;M;2;3;3
126;O7;F;1;3;3

[PREFERENCIAS]
# En esta familia P=5, por lo que cada estudiante tiene 5 preferencias
estudiante;preferencia_1;preferencia_2;preferencia_3;preferencia_4;preferencia_5
1;70;36;18;77;11
2;125;90;79;40;75
3;65;15;30;55;74
4;77;113;103;26;89
5;80;44;10;37;59
6;126;96;109;114;113
7;18;120;37;108;53
8;40;30;116;58;96
9;7;98;8;39;115
10;20;94;72;126;118
11;82;112;101;94;124
12;80;97;35;96;49
13;78;66;29;14;106
14;103;38;93;77;91
15;120;83;107;19;95
16;32;74;47;61;123
17;10;22;92;88;52
18;97;34;62;70;95
19;53;51;72;89;96
20;97;38;88;27;16
21;43;57;120;109;35
22;59;99;1;30;86
23;111;21;66;41;125
24;110;30;22;81;73
25;27;10;56;83;23
26;19;69;25;103;8
27;13;33;29;106;77
28;121;25;126;81;57
29;72;75;70;9;96
30;26;29;34;74;82
31;35;125;81;4;5
32;116;125;103;61;123
33;107;42;34;19;17
34;59;113;45;53;18
35;117;124;66;99;89
36;84;119;47;6;112
37;35;72;31;94;48
38;15;78;44;104;10
39;106;104;55;119;37
40;14;27;7;8;53
41;117;19;9;116;22
42;50;110;20;14;88
43;123;58;67;46;85
44;32;126;81;112;34
45;101;4;91;124;5
46;73;79;19;122;28
47;120;93;3;9;40
48;97;44;98;3;58
49;55;108;18;78;107
50;111;104;39;16;97
51;117;68;3;97;123
52;24;22;104;48;93
53;109;23;9;115;5
54;124;30;76;63;99
55;56;67;35;83;72
56;22;106;9;69;121
57;52;89;62;113;117
58;97;27;79;14;31
59;18;22;87;125;16
60;123;30;85;61;74
61;34;90;57;18;6
62;40;1;71;9;52
63;122;17;92;16;35
64;110;71;91;23;20
65;36;17;92;78;82
66;98;36;117;73;19
67;104;69;44;78;5
68;33;113;52;119;30
69;16;60;110;82;40
70;59;74;99;13;6
71;90;19;98;75;18
72;36;84;32;85;83
73;86;37;54;17;40
74;115;110;62;95;67
75;71;92;33;117;23
76;75;87;20;105;34
77;19;58;17;121;57
78;33;19;101;32;117
79;39;90;41;19;46
80;3;48;64;122;27
81;114;63;124;13;84
82;42;77;62;112;118
83;43;73;121;112;37
84;99;124;5;34;47
85;39;53;67;22;26
86;99;71;82;97;50
87;121;59;82;66;18
88;56;33;116;69;5
89;45;117;75;86;112
90;115;119;1;50;47
91;121;18;98;7;55
92;66;98;29;36;72
93;46;50;88;71;70
94;23;78;30;55;42
95;36;78;18;22;32
96;81;19;75;40;18
97;36;10;28;11;25
98;44;22;6;39;115
99;74;111;15;91;107
100;33;121;25;96;43
101;27;88;118;1;7
102;3;68;120;8;39
103;84;86;4;61;95
104;44;79;73;123;9
105;38;16;108;67;8
106;124;9;36;98;69
107;66;57;48;34;45
108;74;118;14;115;59
109;83;18;57;77;106
110;118;59;82;35;104
111;39;61;69;84;43
112;60;115;13;43;31
113;10;53;65;57;62
114;47;5;58;48;52
115;50;64;73;4;41
116;29;96;107;76;27
117;55;17;7;111;28
118;87;3;70;59;112
119;74;83;13;115;17
120;21;101;99;119;53
121;63;105;110;34;101
122;88;25;7;62;28
123;53;58;55;23;48
124;77;69;48;96;42
125;60;116;113;9;4
126;85;109;76;63;21

[SEPARACIONES]
estudiante_i;estudiante_j
2;119
3;80
4;40
4;116
6;39
8;14
12;115
12;126
16;38
16;89
19;35
21;121
24;90
29;38
33;68
35;41
37;103
37;122
41;75
41;109
46;90
48;114
49;81
53;106
54;85
55;109
64;95
68;103
78;84
99;100
99;109
108;122

[NOTAS]
generacion=aleatoria_controlada
preferencias_por_estudiante=P_fijo
genero=balanceado_dentro_de_cada_curso_de_origen
criterios_perfil=sorteados_de_forma_independiente
separaciones=aprox_N_div_4
estado=instancia_de_experimento
pesos_funcion_objetivo=no_incluidos_en_la_instancia
factibilidad=se_uso_una_asignacion_testigo_solo_para_generar_la_instancia
