# ------------------------------------------------------------
# Instancia sintetica para pruebas del modelo exacto
# L = 27 estudiantes por curso
# P = 5 preferencias por estudiante
# C = 3 cursos nuevos
# Total = 81 estudiantes
# ------------------------------------------------------------

# INSTANCIA DE REASIGNACION DE ESTUDIANTES
# Este archivo contiene los datos de entrada de la instancia. La solucion se guarda aparte.

[INSTANCIA]
nombre=c_n_27_l_5_s_3_i_3
semilla=50440
N=81
C=3
L=27
P=5

[CURSOS_NUEVOS]
curso;capacidad
1;27
2;27
3;27

[BALANCE_GENERO]
grupos=F,M
diferencia_maxima=1

[CURSOS_ORIGEN]
cursos_origen=O1,O2,O3
minimo_O1=8
minimo_O2=8
minimo_O3=8

[CRITERIOS_BALANCE]
criterios=academico,socioemocional,convivencia
niveles=1,2,3

[ESTUDIANTES]
estudiante;curso_origen;genero;academico;socioemocional;convivencia
1;O1;M;3;2;3
2;O1;F;1;2;3
3;O1;M;2;3;3
4;O1;F;1;2;1
5;O1;F;2;3;1
6;O1;M;3;2;1
7;O1;M;1;1;1
8;O1;M;3;3;2
9;O1;M;3;2;1
10;O1;F;1;3;1
11;O1;M;3;1;3
12;O1;F;1;1;2
13;O1;M;2;1;1
14;O1;F;2;3;3
15;O1;F;1;3;3
16;O1;F;2;1;3
17;O1;F;2;1;3
18;O1;M;3;1;1
19;O1;M;3;1;2
20;O1;F;1;2;2
21;O1;F;2;2;3
22;O1;M;3;3;2
23;O1;M;2;1;3
24;O1;F;1;1;2
25;O1;F;1;2;2
26;O1;M;3;2;3
27;O1;M;3;2;1
28;O2;F;3;1;3
29;O2;M;2;1;1
30;O2;F;3;1;1
31;O2;M;1;1;1
32;O2;M;2;2;3
33;O2;M;3;3;1
34;O2;F;1;1;2
35;O2;F;1;1;3
36;O2;F;1;1;1
37;O2;M;2;2;3
38;O2;M;2;2;3
39;O2;F;2;2;2
40;O2;F;3;2;2
41;O2;M;1;2;1
42;O2;M;3;1;3
43;O2;F;3;3;3
44;O2;M;3;3;1
45;O2;M;3;3;1
46;O2;M;1;2;1
47;O2;F;2;3;3
48;O2;F;3;3;3
49;O2;F;2;1;2
50;O2;F;1;3;2
51;O2;M;1;2;2
52;O2;M;1;3;2
53;O2;F;2;3;3
54;O2;M;2;3;2
55;O3;F;2;1;1
56;O3;F;1;2;3
57;O3;F;1;2;3
58;O3;M;3;2;2
59;O3;M;3;2;3
60;O3;M;1;3;3
61;O3;F;3;1;3
62;O3;M;3;2;2
63;O3;M;2;3;1
64;O3;F;1;3;2
65;O3;M;3;1;2
66;O3;M;1;2;3
67;O3;F;1;2;2
68;O3;F;3;3;3
69;O3;F;3;3;3
70;O3;M;2;3;1
71;O3;M;1;2;3
72;O3;M;1;2;3
73;O3;M;2;2;3
74;O3;F;2;2;3
75;O3;M;1;2;2
76;O3;F;1;2;3
77;O3;M;2;3;2
78;O3;F;1;3;1
79;O3;F;2;2;1
80;O3;F;1;1;3
81;O3;M;3;1;1

[PREFERENCIAS]
# En esta familia P=5, por lo que cada estudiante tiene 5 preferencias
estudiante;preferencia_1;preferencia_2;preferencia_3;preferencia_4;preferencia_5
1;2;22;6;52;79
2;54;42;48;80;9
3;40;5;70;77;64
4;76;53;8;13;27
5;81;62;16;14;70
6;54;25;19;12;58
7;4;81;28;72;71
8;19;81;6;20;43
9;55;32;77;7;27
10;54;48;9;66;43
11;35;4;52;21;54
12;21;60;22;76;11
13;42;27;46;69;71
14;59;34;40;78;31
15;39;25;20;59;33
16;32;53;46;10;4
17;3;69;46;61;14
18;75;62;22;30;70
19;16;71;66;39;10
20;81;77;50;35;39
21;68;80;39;62;24
22;24;70;17;74;45
23;20;54;47;7;60
24;6;45;69;41;63
25;31;38;61;72;79
26;33;27;39;77;35
27;62;24;67;71;56
28;25;66;13;46;38
29;26;22;30;44;4
30;54;34;66;3;55
31;58;39;10;34;18
32;54;31;1;76;14
33;38;24;74;31;59
34;21;24;35;38;72
35;9;21;20;4;59
36;78;52;72;28;27
37;80;78;61;75;79
38;12;47;5;50;37
39;80;58;27;57;67
40;50;14;73;38;21
41;28;11;63;33;76
42;70;57;79;21;76
43;74;39;28;10;79
44;74;19;9;15;45
45;80;42;3;23;32
46;75;30;81;1;44
47;34;80;17;74;48
48;72;79;53;56;1
49;13;78;77;74;25
50;52;34;75;4;42
51;75;81;67;5;48
52;67;44;78;38;14
53;6;48;29;24;36
54;75;36;44;80;9
55;53;5;36;17;80
56;34;51;42;57;29
57;81;11;28;6;49
58;73;64;44;16;39
59;44;75;61;40;72
60;16;68;43;44;55
61;75;77;27;65;49
62;21;45;22;37;71
63;3;18;13;15;29
64;56;23;43;47;35
65;16;18;29;6;57
66;39;31;53;24;27
67;19;25;12;58;49
68;25;53;77;4;51
69;74;3;1;63;68
70;40;21;31;32;24
71;8;15;42;37;4
72;17;38;60;36;6
73;18;69;39;66;57
74;8;42;36;46;31
75;41;29;46;30;44
76;46;16;7;27;66
77;27;32;72;62;30
78;75;14;79;61;42
79;54;15;71;41;27
80;45;49;65;9;76
81;30;70;27;59;8

[SEPARACIONES]
estudiante_i;estudiante_j
3;18
4;13
5;53
6;79
7;34
8;53
9;12
10;39
10;62
12;70
15;25
22;71
23;64
35;74
42;43
44;62
44;74
48;49
70;77
74;75

[NOTAS]
generacion=aleatoria_controlada
preferencias_por_estudiante=P_fijo
genero=balanceado_dentro_de_cada_curso_de_origen
criterios_perfil=sorteados_de_forma_independiente
separaciones=aprox_N_div_4
estado=instancia_de_experimento
pesos_funcion_objetivo=no_incluidos_en_la_instancia
factibilidad=se_uso_una_asignacion_testigo_solo_para_generar_la_instancia
