# ------------------------------------------------------------
# Instancia sintetica para pruebas del modelo exacto
# L = 36 estudiantes por curso
# P = 5 preferencias por estudiante
# C = 2 cursos nuevos
# Total = 72 estudiantes
# ------------------------------------------------------------

# INSTANCIA DE REASIGNACION DE ESTUDIANTES
# Este archivo contiene los datos de entrada de la instancia. La solucion se guarda aparte.

[INSTANCIA]
nombre=c_n_36_l_5_s_2_i_0
semilla=50345
N=72
C=2
L=36
P=5

[CURSOS_NUEVOS]
curso;capacidad
1;36
2;36

[BALANCE_GENERO]
grupos=F,M
diferencia_maxima=1

[CURSOS_ORIGEN]
cursos_origen=O1,O2
minimo_O1=17
minimo_O2=17

[CRITERIOS_BALANCE]
criterios=academico,socioemocional,convivencia
niveles=1,2,3

[ESTUDIANTES]
estudiante;curso_origen;genero;academico;socioemocional;convivencia
1;O1;M;2;3;1
2;O1;F;3;2;3
3;O1;F;1;2;3
4;O1;F;2;1;1
5;O1;F;2;2;2
6;O1;M;3;1;3
7;O1;M;2;3;1
8;O1;F;2;1;2
9;O1;M;1;3;3
10;O1;M;2;3;3
11;O1;F;3;2;3
12;O1;F;1;2;2
13;O1;M;3;1;2
14;O1;M;3;3;2
15;O1;M;1;2;1
16;O1;M;2;1;3
17;O1;F;3;1;1
18;O1;M;1;3;3
19;O1;F;1;1;2
20;O1;M;2;1;1
21;O1;F;2;2;3
22;O1;F;2;2;2
23;O1;F;1;3;3
24;O1;F;3;1;1
25;O1;M;2;1;3
26;O1;F;1;1;1
27;O1;M;2;3;3
28;O1;F;2;3;2
29;O1;F;2;3;3
30;O1;F;1;1;2
31;O1;M;2;2;1
32;O1;M;1;2;3
33;O1;M;2;2;2
34;O1;M;1;2;3
35;O1;M;1;3;1
36;O1;F;2;1;2
37;O2;F;2;2;2
38;O2;M;3;3;1
39;O2;F;1;3;1
40;O2;M;1;2;3
41;O2;F;3;2;2
42;O2;F;2;1;3
43;O2;F;2;2;1
44;O2;M;3;1;1
45;O2;M;1;2;2
46;O2;M;2;1;3
47;O2;F;1;1;3
48;O2;F;1;1;1
49;O2;F;2;3;2
50;O2;M;1;2;3
51;O2;M;3;3;1
52;O2;M;2;3;1
53;O2;M;2;1;3
54;O2;F;3;2;3
55;O2;F;3;1;1
56;O2;M;1;2;3
57;O2;M;3;1;1
58;O2;F;1;2;3
59;O2;M;2;2;3
60;O2;F;2;2;2
61;O2;M;1;2;1
62;O2;M;1;2;1
63;O2;F;1;1;3
64;O2;F;2;3;2
65;O2;F;3;2;3
66;O2;F;1;2;2
67;O2;M;1;1;1
68;O2;M;1;2;2
69;O2;F;2;3;1
70;O2;M;1;3;3
71;O2;M;1;3;1
72;O2;F;1;1;2

[PREFERENCIAS]
# En esta familia P=5, por lo que cada estudiante tiene 5 preferencias
estudiante;preferencia_1;preferencia_2;preferencia_3;preferencia_4;preferencia_5
1;18;53;37;41;3
2;18;57;37;8;14
3;22;12;33;58;64
4;68;16;49;61;5
5;58;45;1;19;65
6;20;12;38;22;66
7;19;65;2;34;37
8;7;49;63;17;64
9;23;69;45;48;57
10;41;3;56;1;61
11;65;62;10;58;37
12;1;15;38;36;47
13;32;59;20;66;23
14;45;13;15;48;29
15;38;10;14;53;36
16;39;71;18;30;26
17;51;47;62;39;64
18;53;39;61;55;31
19;26;39;34;27;35
20;29;62;42;22;15
21;39;24;9;7;66
22;21;5;58;48;55
23;17;33;64;67;18
24;53;34;71;42;36
25;12;32;24;48;70
26;28;70;40;44;16
27;40;52;33;37;24
28;6;42;70;54;13
29;12;48;23;62;26
30;69;31;8;26;20
31;37;54;62;72;10
32;70;38;68;34;15
33;10;2;59;61;39
34;42;1;24;41;11
35;10;3;19;42;31
36;24;35;22;51;63
37;72;2;25;52;35
38;70;29;44;72;52
39;33;20;19;15;54
40;72;21;65;52;42
41;32;11;60;62;69
42;72;4;22;38;21
43;72;46;21;18;51
44;62;38;60;39;2
45;68;34;16;13;17
46;40;25;22;58;27
47;23;18;4;37;48
48;29;39;34;28;56
49;71;46;37;12;42
50;54;65;33;12;64
51;48;47;14;37;7
52;3;10;24;54;31
53;55;9;48;70;42
54;66;61;8;50;38
55;17;60;70;14;56
56;44;39;70;50;49
57;26;32;71;44;2
58;3;13;32;63;20
59;41;24;32;29;47
60;41;72;49;16;70
61;2;38;46;63;50
62;43;24;38;32;44
63;16;13;64;37;26
64;6;55;68;70;33
65;15;28;37;29;24
66;10;37;1;25;11
67;22;40;9;51;30
68;53;26;25;9;13
69;34;57;8;40;9
70;52;19;36;14;11
71;46;36;31;72;29
72;58;6;15;27;42

[SEPARACIONES]
estudiante_i;estudiante_j
4;11
4;29
5;32
8;42
11;57
12;29
20;25
22;52
28;64
30;52
30;64
32;35
32;60
40;65
41;71
51;60
55;61
59;63

[NOTAS]
generacion=aleatoria_controlada
preferencias_por_estudiante=P_fijo
genero=balanceado_dentro_de_cada_curso_de_origen
criterios_perfil=sorteados_de_forma_independiente
separaciones=aprox_N_div_4
estado=instancia_de_experimento
pesos_funcion_objetivo=no_incluidos_en_la_instancia
factibilidad=se_uso_una_asignacion_testigo_solo_para_generar_la_instancia
