# ------------------------------------------------------------
# Instancia sintetica para pruebas del modelo exacto
# L = 36 estudiantes por curso
# P = 5 preferencias por estudiante
# C = 6 cursos nuevos
# Total = 216 estudiantes
# ------------------------------------------------------------

# INSTANCIA DE REASIGNACION DE ESTUDIANTES
# Este archivo contiene los datos de entrada de la instancia. La solucion se guarda aparte.

[INSTANCIA]
nombre=c_n_36_l_5_s_6_i_2
semilla=50763
N=216
C=6
L=36
P=5

[CURSOS_NUEVOS]
curso;capacidad
1;36
2;36
3;36
4;36
5;36
6;36

[BALANCE_GENERO]
grupos=F,M
diferencia_maxima=1

[CURSOS_ORIGEN]
cursos_origen=O1,O2,O3,O4,O5,O6
minimo_O1=5
minimo_O2=5
minimo_O3=5
minimo_O4=5
minimo_O5=5
minimo_O6=5

[CRITERIOS_BALANCE]
criterios=academico,socioemocional,convivencia
niveles=1,2,3

[ESTUDIANTES]
estudiante;curso_origen;genero;academico;socioemocional;convivencia
1;O1;M;1;3;1
2;O1;F;1;1;3
3;O1;M;2;1;2
4;O1;M;3;2;1
5;O1;M;1;1;1
6;O1;F;1;2;2
7;O1;M;2;1;1
8;O1;F;1;2;3
9;O1;F;1;2;3
10;O1;F;2;1;2
11;O1;F;2;2;1
12;O1;F;3;3;2
13;O1;M;1;2;2
14;O1;F;3;1;2
15;O1;F;2;1;1
16;O1;F;1;3;2
17;O1;M;3;1;1
18;O1;M;1;2;3
19;O1;F;3;1;1
20;O1;M;2;1;3
21;O1;F;3;2;3
22;O1;M;2;1;1
23;O1;M;2;3;1
24;O1;M;1;3;2
25;O1;M;3;1;1
26;O1;M;2;2;1
27;O1;M;2;2;1
28;O1;M;2;2;2
29;O1;F;3;3;2
30;O1;F;3;1;1
31;O1;M;1;1;3
32;O1;F;2;3;1
33;O1;F;2;2;1
34;O1;F;2;1;1
35;O1;F;2;1;2
36;O1;M;1;1;3
37;O2;M;3;3;1
38;O2;M;3;1;1
39;O2;M;1;3;2
40;O2;F;3;1;3
41;O2;M;3;3;3
42;O2;F;3;3;2
43;O2;F;3;2;3
44;O2;M;3;2;1
45;O2;F;1;3;2
46;O2;F;1;1;1
47;O2;F;1;1;3
48;O2;F;2;2;3
49;O2;F;2;3;2
50;O2;F;3;1;2
51;O2;F;3;3;2
52;O2;M;1;3;2
53;O2;M;3;1;1
54;O2;M;1;1;1
55;O2;F;3;2;2
56;O2;M;2;3;1
57;O2;M;2;3;2
58;O2;M;2;3;1
59;O2;F;2;1;3
60;O2;F;2;2;1
61;O2;M;1;3;3
62;O2;F;2;2;1
63;O2;F;2;1;3
64;O2;F;3;3;3
65;O2;M;2;2;3
66;O2;M;1;1;1
67;O2;M;1;2;3
68;O2;F;2;1;2
69;O2;M;1;3;2
70;O2;F;1;1;3
71;O2;M;2;3;2
72;O2;M;2;2;1
73;O3;M;2;2;1
74;O3;F;1;3;3
75;O3;F;1;3;3
76;O3;F;1;3;2
77;O3;F;3;2;3
78;O3;M;3;2;3
79;O3;M;3;3;2
80;O3;F;1;3;2
81;O3;F;1;2;1
82;O3;M;1;1;3
83;O3;M;2;2;3
84;O3;F;2;1;3
85;O3;M;3;2;2
86;O3;F;3;2;1
87;O3;M;1;2;1
88;O3;M;2;2;1
89;O3;F;2;3;3
90;O3;M;3;2;2
91;O3;M;3;3;2
