# ------------------------------------------------------------
# Instancia sintetica para pruebas del modelo exacto
# L = 36 estudiantes por curso
# P = 7 preferencias por estudiante
# C = 4 cursos nuevos
# Total = 144 estudiantes
# ------------------------------------------------------------

# INSTANCIA DE REASIGNACION DE ESTUDIANTES
# Este archivo contiene los datos de entrada de la instancia. La solucion se guarda aparte.

[INSTANCIA]
nombre=c_n_36_l_7_s_4_i_9
semilla=70624
N=144
C=4
L=36
P=7

[CURSOS_NUEVOS]
curso;capacidad
1;36
2;36
3;36
4;36

[BALANCE_GENERO]
grupos=F,M
diferencia_maxima=1

[CURSOS_ORIGEN]
cursos_origen=O1,O2,O3,O4
minimo_O1=8
minimo_O2=8
minimo_O3=8
minimo_O4=8

[CRITERIOS_BALANCE]
criterios=academico,socioemocional,convivencia
niveles=1,2,3

[ESTUDIANTES]
estudiante;curso_origen;genero;academico;socioemocional;convivencia
1;O1;F;3;3;1
2;O1;F;2;2;1
3;O1;F;3;3;3
4;O1;F;2;3;2
5;O1;M;2;3;2
6;O1;F;3;2;3
7;O1;M;1;1;1
8;O1;M;2;3;1
9;O1;F;3;2;1
10;O1;M;2;2;2
11;O1;M;1;1;1
12;O1;F;3;2;2
13;O1;M;1;2;3
14;O1;M;2;2;3
15;O1;M;3;1;2
16;O1;M;3;1;1
17;O1;M;3;1;1
18;O1;M;1;2;2
19;O1;F;2;2;1
20;O1;M;2;1;2
21;O1;M;3;3;2
22;O1;F;2;2;2
23;O1;F;1;1;2
24;O1;M;3;3;3
25;O1;F;1;3;3
26;O1;F;1;1;3
27;O1;M;2;3;2
28;O1;F;2;3;1
29;O1;F;3;2;2
30;O1;F;1;3;1
31;O1;M;2;2;1
32;O1;M;2;3;3
33;O1;F;3;1;1
34;O1;M;1;3;3
35;O1;F;2;3;2
36;O1;F;1;2;1
37;O2;M;3;1;3
38;O2;M;1;2;2
39;O2;M;1;2;2
40;O2;F;1;2;1
41;O2;M;1;3;2
42;O2;F;1;2;3
43;O2;M;2;2;3
44;O2;F;1;2;1
45;O2;F;2;1;1
46;O2;F;3;3;1
47;O2;M;1;3;2
48;O2;F;2;2;1
49;O2;M;1;1;1
50;O2;F;3;3;2
51;O2;F;1;2;2
52;O2;M;1;2;1
53;O2;M;1;2;2
54;O2;M;2;3;2
55;O2;F;3;3;2
56;O2;F;2;2;3
57;O2;F;3;2;3
58;O2;F;1;1;2
59;O2;F;1;1;3
60;O2;M;3;3;1
61;O2;F;1;2;3
62;O2;F;1;1;1
63;O2;M;2;1;1
64;O2;M;2;3;2
65;O2;M;3;1;3
66;O2;M;1;1;2
67;O2;M;3;2;3
68;O2;F;3;3;1
69;O2;F;3;2;3
70;O2;F;2;2;3
71;O2;M;1;2;3
72;O2;M;2;2;2
73;O3;M;1;3;3
74;O3;F;3;3;3
75;O3;M;2;3;2
76;O3;M;3;3;2
77;O3;F;3;1;2
78;O3;M;1;3;2
79;O3;F;2;3;2
80;O3;F;3;2;3
81;O3;M;3;1;3
82;O3;M;3;3;1
83;O3;F;2;3;2
84;O3;F;1;2;3
85;O3;F;2;2;1
86;O3;M;2;1;3
87;O3;M;1;2;3
88;O3;F;2;3;2
89;O3;F;2;1;3
90;O3;M;2;3;1
91;O3;F;2;2;2
92;O3;F;3;1;2
93;O3;F;2;1;1
94;O3;F;3;2;3
95;O3;F;3;2;2
96;O3;F;3;2;2
97;O3;F;2;3;2
98;O3;M;2;1;1
99;O3;F;3;1;2
100;O3;M;1;2;3
101;O3;M;1;2;3
102;O3;M;1;2;3
103;O3;M;1;1;3
104;O3;M;2;2;1
105;O3;M;1;2;1
106;O3;M;1;2;3
107;O3;M;1;1;3
108;O3;F;3;3;3
109;O4;F;2;3;3
110;O4;F;3;3;1
111;O4;F;2;1;1
112;O4;F;3;3;1
113;O4;M;1;1;2
114;O4;F;1;2;2
115;O4;M;1;1;1
116;O4;F;2;3;1
117;O4;M;1;1;3
118;O4;F;1;1;1
119;O4;F;2;1;2
120;O4;M;2;2;3
121;O4;M;3;2;2
122;O4;M;1;3;3
123;O4;F;3;3;2
124;O4;M;1;1;1
125;O4;M;2;2;1
126;O4;F;3;1;1
127;O4;F;2;2;2
128;O4;M;2;2;2
129;O4;M;3;1;1
130;O4;M;3;1;1
131;O4;F;1;1;3
132;O4;F;1;2;3
133;O4;M;1;2;3
134;O4;F;2;2;3
135;O4;F;2;2;3
136;O4;F;1;3;3
137;O4;M;2;2;3
138;O4;M;3;3;1
139;O4;M;1;2;1
140;O4;M;1;2;2
141;O4;F;2;1;2
142;O4;M;2;2;3
143;O4;F;2;1;3
144;O4;M;3;3;3

[PREFERENCIAS]
# En esta familia P=7, por lo que cada estudiante tiene 7 preferencias
estudiante;preferencia_1;preferencia_2;preferencia_3;preferencia_4;preferencia_5;preferencia_6;preferencia_7
1;132;143;96;6;32;13;121
2;58;64;113;75;79;69;65
3;47;121;78;38;142;112;30
4;53;143;67;106;3;139;44
5;144;37;86;103;46;128;56
6;17;46;30;132;72;101;48
7;40;125;3;54;13;93;59
8;38;70;88;87;15;23;121
9;101;99;62;19;137;144;79
10;128;33;20;86;39;93;99
11;58;89;2;71;125;20;7
12;82;34;61;42;46;2;89
13;101;40;35;81;139;99;69
14;142;59;57;7;97;128;112
15;9;123;78;94;111;21;33
16;5;97;36;107;35;22;45
17;102;87;141;65;124;69;130
18;83;137;78;9;43;133;96
19;2;9;116;81;68;83;138
20;80;64;119;18;40;117;24
21;99;102;69;2;22;142;128
22;1;26;54;137;56;104;101
23;37;100;72;34;40;138;119
24;71;56;58;2;57;135;28
25;42;17;100;125;66;12;36
26;24;2;28;56;129;15;21
27;76;7;114;30;97;18;11
28;9;53;80;85;75;55;7
29;14;40;77;84;135;102;121
30;57;84;125;10;82;13;62
31;139;55;83;66;138;30;77
32;45;132;80;27;2;33;35
33;73;31;96;79;27;140;52
34;21;111;5;37;123;9;48
35;84;124;8;27;63;95;118
36;88;13;38;83;27;45;125
37;90;53;66;84;3;30;29
38;95;32;39;115;41;101;102
39;105;97;32;114;14;51;36
40;27;48;10;99;132;66;139
41;125;87;55;14;57;128;25
42;119;29;100;135;79;8;138
43;47;46;78;118;11;62;109
44;78;125;61;139;92;55;54
45;30;131;113;48;4;60;108
46;122;45;92;9;123;139;101
47;135;81;34;37;73;66;54
48;2;65;37;73;96;118;31
49;81;97;138;5;4;103;54
50;93;124;31;43;71;62;70
51;134;103;17;92;21;135;127
52;72;80;40;38;97;96;131
53;15;137;118;40;78;109;39
54;85;127;37;23;58;62;21
55;16;86;6;23;112;87;12
56;119;46;100;34;112;62;84
57;86;70;119;97;106;69;137
58;2;131;74;64;97;77;139
59;22;1;13;129;28;112;6
60;144;126;21;30;142;15;20
61;118;28;69;103;6;131;100
62;35;12;20;19;52;83;68
63;44;34;29;77;109;54;89
64;26;132;104;115;37;79;47
65;7;130;39;26;86;74;20
66;121;56;108;129;55;36;16
67;55;120;104;83;95;44;35
68;28;7;139;41;44;37;29
69;126;99;139;33;141;119;127
70;20;135;79;143;66;125;110
71;29;127;27;85;82;45;11
72;113;128;97;123;117;42;106
73;137;121;29;27;100;51;74
74;31;18;72;62;69;45;89
75;90;50;122;86;93;95;97
76;3;34;119;48;56;51;94
77;12;140;7;66;114;69;47
78;21;142;97;114;3;89;79
79;1;106;104;51;88;52;136
80;42;23;81;5;79;33;22
81;143;46;118;14;10;139;87
82;12;140;135;102;23;14;62
83;118;89;73;140;13;62;121
84;74;103;47;11;34;1;43
85;68;99;57;27;96;3;39
86;130;59;22;101;53;75;58
87;112;84;114;137;61;92;95
88;19;23;5;52;76;64;123
89;99;39;69;82;24;132;38
90;74;47;93;31;39;124;71
91;32;135;35;39;30;86;100
92;33;60;61;125;44;28;1
93;142;128;109;74;141;2;97
94;135;66;103;47;29;77;109
95;31;136;42;99;123;118;9
96;120;136;104;127;72;10;19
97;140;116;62;7;74;84;82
98;80;93;139;20;100;17;140
99;34;31;66;13;16;74;142
100;41;43;80;65;47;110;31
101;91;14;138;51;106;20;10
102;62;93;125;47;41;68;85
103;45;35;87;50;115;53;127
104;78;124;17;138;139;77;37
105;2;16;137;109;102;49;135
106;16;24;30;10;59;38;18
107;129;40;47;123;104;102;132
108;56;127;27;64;13;52;92
109;43;136;64;41;53;124;10
110;25;50;101;125;138;134;42
111;106;24;78;37;45;27;102
112;143;95;142;104;64;22;18
113;116;115;123;34;101;144;98
114;60;25;135;117;134;118;65
115;38;40;58;3;66;62;14
116;72;7;25;49;51;120;50
117;127;105;16;100;90;132;73
118;14;81;8;21;36;124;130
119;108;136;46;62;75;60;15
120;56;69;75;114;103;80;21
121;141;28;67;112;68;90;49
122;107;7;54;65;129;42;21
123;135;106;144;100;131;93;16
124;37;2;65;1;104;139;38
125;49;142;87;30;136;38;50
126;43;41;114;129;102;58;111
127;72;54;66;20;61;97;7
128;79;140;36;18;76;63;23
129;60;132;117;138;109;84;70
130;10;132;17;75;125;98;63
131;134;120;98;82;49;64;37
132;93;142;134;62;33;57;1
133;32;19;62;1;40;115;91
134;29;78;115;50;142;133;25
135;58;118;76;52;115;28;65
136;59;89;123;129;50;119;88
137;77;38;21;98;14;22;44
138;125;139;47;20;30;107;91
139;17;127;59;49;138;57;94
140;98;56;23;105;137;143;10
141;39;92;91;120;80;45;128
142;128;7;12;111;8;126;66
143;131;140;30;139;117;80;52
144;50;21;126;91;5;136;60

[SEPARACIONES]
estudiante_i;estudiante_j
7;85
11;114
12;40
12;108
20;96
26;61
27;75
27;89
28;68
30;115
30;137
32;126
32;134
35;43
37;66
39;90
39;114
44;137
51;127
58;117
59;88
66;75
69;93
70;80
76;117
79;88
79;112
85;105
90;99
102;124
106;129
111;134
112;128
116;143
125;131
125;138

[NOTAS]
generacion=aleatoria_controlada
preferencias_por_estudiante=P_fijo
genero=balanceado_dentro_de_cada_curso_de_origen
criterios_perfil=sorteados_de_forma_independiente
separaciones=aprox_N_div_4
estado=instancia_de_experimento
pesos_funcion_objetivo=no_incluidos_en_la_instancia
factibilidad=se_uso_una_asignacion_testigo_solo_para_generar_la_instancia
