# Testigo factible usado SOLO para generar la instancia.
# No debe usarse como warm start en el benchmark.
estudiante;curso_testigo
1;1
2;2
3;3
4;1
5;1
6;2
7;3
8;2
9;1
10;3
11;1
12;2
13;2
14;3
15;3
16;1
17;1
18;2
19;2
20;3
21;1
22;2
23;3
24;1
25;2
26;3
27;1
28;3
29;2
30;1
31;2
32;3
33;1
34;2
35;3
36;3
37;1
38;2
39;1
40;2
41;3
42;1
43;3
44;2
45;1
46;3
47;1
48;2
49;3
50;1
51;2
52;2
53;3
54;1
55;3
56;2
57;1
58;3
59;2
60;1
61;2
62;3
63;1
64;2
65;3
66;3
67;1
68;1
69;2
70;2
71;3
72;3
73;1
74;2
75;3
76;1
77;1
78;2
79;3
80;1
81;2
82;2
83;3
84;1
85;2
86;3
87;1
88;3
89;2
90;1
91;2
92;3
93;1
94;2
95;3
96;3
97;1
98;1
99;2
100;3
101;2
102;3
103;1
104;1
105;2
106;3
107;2
108;3
